Symbol: USD
PnL: 191642.6007244587
Trades:
      Side       Date     Price  Qty
       BUY 2015-12-15  0.893109 5598
      SELL 2016-01-28  0.669202 5598
       BUY 2016-04-21  0.821357 4561
      SELL 2018-09-04  2.876193 4561
       BUY 2018-09-05  2.830018 4635
      SELL 2018-09-19  2.700608 4635
       BUY 2019-04-05  2.810913 4453
      SELL 2020-04-13  2.715713 4453
       BUY 2020-06-26  3.485989 3469
      SELL 2022-03-16  9.066248 3469
       BUY 2023-02-22  5.365670 5861
      SELL 2025-03-05 24.290499 5861
       BUY 2025-07-10 39.094391 3641
SELL_FINAL 2025-12-24 54.000000 3641
